id,priority,phase,scope,topology,workload,policy_or_variant,profiler,trials,measured_jobs_or_duration,estimated_wall_min,dependency,primary_metric,go_condition,artifact
B1,P0,today,non-preemption,3g MPS,"NRx injection during Qwen decode",highest NRx stream and low AI client priority,Nsys short+timing,3,100 injections,30,B0,"blocking p99 and residual","quantifies priority-only benefit/limit",blocking/decode_priority/
B2,P0,today,non-preemption,3g MPS,"NRx injection during prefill 512",priority only,Nsys short+timing,3,100 injections,30,A1,"blocking p99 max","worst prefill blocking attributed",blocking/prefill_priority/
B3,P1,today,non-preemption,3g MPS,"NRx injection during Qwen",MPS cap 20,none,3,1000 injections,25,B0,"NRx p99; Qwen utility","static cap comparison complete",blocking/mps_cap20/
Q0,P0,today,quantum correctness,3g Qwen,Qwen decode,token-boundary baseline,none,1,100 steps,20,A0,"logit allclose; next-token exact","correctness exact",quantum/token/
Q1,P0,today,quantum correctness,3g Qwen,Qwen prefill,"chunk 64 128 256 512",none,1,20 requests each,35,A1,"logit allclose; TTFT","all chunks correct",quantum/prefill_chunk/
Q2,P0,today,quantum correctness,3g Qwen,Qwen decode,"layer groups 1 2 4 8 whole",none,1,100 steps each,50,A0,"logit allclose; next-token exact","all accepted groups correct",quantum/layer_group/
Q3,P0,today,quantum Pareto,3g MPS,"NRx injection plus Qwen","token chunk layer-group variants",none,3,1000 injections each,70,Q0|Q1|Q2,"revoke p99; NRx p99; token/s","non-dominated knee exists",quantum/pareto.csv
P0,P0,today,policy compute gate,"4g primary NRx + 3g overflow NRx/Qwen","low600 burst1100 low600",static one,none,3,6 s trace,15,Q3,"burst p99 miss backlog AI utility","paired baseline complete",policy/static_one/
P1,P0,today,policy compute gate,"same fixed topology","same trace",naive two plus always-on AI,none,3,6 s trace,15,Q3,"burst p99 miss backlog AI utility","paired baseline complete",policy/naive_two/
P2,P0,today,policy compute gate,"same fixed topology","same trace",priority only,none,3,6 s trace,15,B1,"burst p99 and quiescence","priority baseline complete",policy/priority/
P3,P0,today,policy compute gate,"same fixed topology","same trace",token gate,none,3,6 s trace,15,Q0,"burst p99 and token/s","cooperative baseline complete",policy/token_gate/
P4,P0,today,policy compute gate,"same fixed topology","same trace",predicted finish plus bounded lease MIGRx,none,3,6 s trace,20,Q3,"p99 miss AI utility activation delay","Pareto improvement over simple baselines",policy/migrx/
P5,P1,today,policy compute gate,"same fixed topology","same trace",future-arrival oracle lease,none,3,6 s trace,15,Q3,"oracle gap","online mechanism gap quantified",policy/oracle/
P6,P1,today,policy boundary,"same fixed topology","capacity 0.9 1.0 1.1x; D 2 5 10ms",shortest queue vs MIGRx,none,3,each 10 s,55,P4,"stability boundary and deadline miss","MIGRx boundary no worse than shortest queue",policy/boundary.csv
J0,P0,today,fallback calibration,protected 4g L1,"current MCS2 conventional receiver",caller-owned persistent conventional path,Nsys graph+timing,3,5000 iterations,30,K1,"conventional service p50 p95 p99","finite stable service distribution and valid API chain",fallback/conventional_service.csv
J1,P1,today,JIT commit compute gate,"fixed 4g+3g harness","injected NRx delay and failure; D 2 5 10ms","block on NRx vs immediate speculation vs JIT commit",none,3,10000 jobs,40,J0|P4,"miss late drop conventional work NRx use","JIT reduces miss vs blocking and work vs immediate speculation",fallback/jit_injection.csv
T0,P1,today,transport,"same physical GPU MIG","1.415MB fwd; 314496B QPSK bwd; 1.258MB size control","P2P depth 1 2 4 8",none,3,"100 warmup + 1000",25,M0,"one-way p99 throughput integrity","all depth checksum pass",transport/p2p/
T1,P1,today,transport,"cross-process via mlx5_0",same payload classes,"GDR depth 1 2 4 8",none,3,"100 warmup + 1000",35,M0,"one-way p99 CPU NIC bytes integrity","all depth checksum pass and NIC counters move",transport/gdr/
T2,P2,today,transport,CPU staging,same payload classes,"host bounce depth 1 2 4 8",none,3,"100 warmup + 1000",25,M0,"p99 CPU utilization memory copy bytes","fair compatibility baseline complete",transport/host/
F0,P0,today,full L1 component,"protected L1 candidate",synthetic deterministic tensor,"CE front direct NRx LDPC CRC API",Nsys graph+timing,3,"100 timing; 20 traced",40,K1,"stage service p99 shape finite API completion","stage sum and end-to-end accounted; no radio claim",full_chain/stages/
F1,P1,today,full-chain smoke,"4g L1 + 3g NRx",deterministic tensor,sibling P2P upper bound,none,3,100 slots,30,T0|F0,"checksum finite stale drop active L1 and E2E","100 percent transport integrity; no stale generation",full_chain/p2p_smoke/
F2,P1,today,full-chain smoke,"4g L1 + 3g NRx process-isolated",deterministic tensor,NIC GDR,none,3,100 slots,35,T1|F0,"checksum finite stale drop active L1 and E2E","100 percent transport integrity; no stale generation",full_chain/gdr_smoke/
R0,P0,paper,deadline discovery,Aerial config,real schedule,trace scheduling and HARQ budget,trace/config review,1,one authoritative config,TBD,F0,"absolute processing budget","deadline derived and documented",radio/deadline_contract.md
R1,P0,paper,radio dataset,link-level,"supported MCS channel SNR Doppler",paired conventional and NRx,none,5,"at least 1000 TB per stratum",TBD,R0,"CRC BLER decoded goodput delta","ground truth and paired labels valid",radio/paired_dataset/
R2,P0,paper,radio routing,fixed topology,same paired trace,"EDF queue threshold MIGRx JIT-commit oracle",none,5,100000 jobs total,TBD,R1|P4|J1,"deadline miss vs decoded goodput and conventional work","MIGRx improves a Pareto axis",radio/policy_pareto.csv
C0,P1,paper,closest-work baseline,shared opportunistic partition,"NRx plus Qwen","MPS priority and artifact-compatible Tally or REEF-N",timing+short Nsys,5,matched load trace,TBD,Q3,"NRx p99 AI utility integration overhead","artifact compatibility recorded; strongest runnable baseline compared",related_work/gpu_scheduler/
S0,P0,paper,realistic queue,fixed protected L1,"periodic synchronized cells 1 2 4 8","static shortest EDF MIGRx",none,5,at least 5 min per config,TBD,R0|F2|P4,"p99 miss backlog drain active L1","stable below predicted capacity and graceful fallback",system/multicell/
L0,P0,paper,long run,fixed protected L1,"chosen primary trace",MIGRx,low-overhead CUPTI,1,"30 min then 2 h",TBD,S0|R2,"miss burst restart topology change AI utility","zero restart and topology change; bounded queue",system/long_run/
